file,where,original,updated
/Users/asc/Shopify/TPS RAW V1/sections/banner.liquid,schema:settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/banner.liquid,schema:settings/1/default,Titre de la bannière,Title de la bannière
/Users/asc/Shopify/TPS RAW V1/sections/sticky-atc.liquid,schema:settings/9/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/richtext.liquid,schema:blocks/0/settings/1/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/richtext.liquid,schema:blocks/0/settings/1/default,Titre de la colonne,Title de la colonne
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/11/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/17/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/23/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/23/info,Remarque : correspond à la couleur de la bordure du tableau,Remarque : correspond à la color de la bordure du tableau
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/27/label,Couleur des lignes du tableau,Color des lignes du tableau
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/27/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/28/label,Couleur de l'en-tête tableau,Color de l'en-tête tableau
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/29/label,Couleur du pied de tableau,Color du pied de tableau
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/30/label,Couleur du texte de la deuxième colonne,Color du texte de la deuxième colonne
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/30/info,Sélectionnez une couleur différente pour mettre davantage en valeur votre produit.,Sélectionnez une color différente pour mettre davantage en valeur votre produit.
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/30/options/0/label,Par défaut,Default
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/31/label,Couleur d'arrière plan de la deuxième colonne,Color d'arrière plan de la deuxième colonne
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:settings/32/label,Afficher la couleur en alternance des rangées,Afficher la color en alternance des rangées
/Users/asc/Shopify/TPS RAW V1/sections/comparaison-table.liquid,schema:blocks/1/settings/0/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/2/info,"Si aucune image n'est sélectionnée, les options de couleur d'arrière-plan ci-dessous seront appliquées.","Si aucune image n'est sélectionnée, les options de color d'arrière-plan ci-dessous seront appliquées."
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/5/label,Couleur de l'arrière plan,Background color
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/14/label,Légende Image,Caption Image
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/16/label,Légende Texte,Caption Texte
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/17/label,Taille de la légende,Caption size
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/18/label,Couleur de la légende,Caption color
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/19/label,Titre,Title
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/20/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/multi-image-with-text.liquid,schema:settings/21/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-blog.liquid,schema:settings/3/label,Balise titre (SEO),Heading tag (SEO)
/Users/asc/Shopify/TPS RAW V1/sections/template-blog.liquid,schema:settings/4/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-blog.liquid,schema:settings/9/label,Taille du titre,Title size
/Users/asc/Shopify/TPS RAW V1/sections/template-blog.liquid,schema:settings/13/label,Couleur de la bordure,Color de la bordure
/Users/asc/Shopify/TPS RAW V1/sections/template-blog.liquid,schema:settings/13/options/0/label,Par défaut,Default
